✓,Genre,Artist,Album
,,!!!,THR!!!ER
,,!!!,"Strange Weather, Isn't It?"
,,!!!,Myth Takes
,,...And You Will Know Us By The Trail Of Dead,Worlds Apart
,,(Various Artists),Live at KEXP Volume Five
,,(Various Artists),LIVE at KEXP Volume One
,,(Various Artists),Live at KEXP volume four
,,A Band of Bees,Free The Bees
,,A Tribe Called Quest,Midnight Marauders
,,A Tribe Called Quest,The Low End Theory
,,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm
,,Absolute Monarchs,1
,,Aesop Rock,None Shall Pass
,,AIR,Moon Safari
,,AIR,Talkie walkie
,,Akron/Family,"Set 'Em Wild, Set 'Em Free"
,,Alabama Shakes,Boys & Girls
,,Alabama Shakes,Sound & Color
,,Alexi Murdoch,Time Without Consequence
,,Allen Stone,Allen Stone
,,Aloe Blacc,Good Things
,,alt-J,This Is All Yours
,,alt-J,Live At KEXP Volume Nine
,,alt-J,An Awesome Wave
,,Alvvays,Alvvays
,,Amy Winehouse,Back to Black
,,Andrew Bird,Noble Beast
,,Animal Collective,Strawberry Jam
,,Animal Collective,Feels
,,Animal Collective,Merriweather Post Pavilion
,,Annuals,Be He Me
,,Arcade Fire,Reflektor
,,Arcade Fire,The Suburbs
,,Arcade Fire,Neon Bible
,,Arcade Fire,Funeral
,,Archer Prewitt,Wilderness
,,Archers of Loaf,Icky Mettle
,,Archie Bronson Outfit,Derdang Derdang
,,Art Brut,Bang Bang Rock & Roll
,,Arthur & Yu,In Camera
,,Asobi Seksu,Citrus
,,At the Drive-In,Relationship of Command
,,Atlas Sound,Logos
,,Atlas Sound,Parallax
,,Atoms for Peace,Amok
,,Austra,Olympia
,,Austra,Feel It Break
,,Band of Horses,Cease to Begin
,,Band of Horses,Everything All the Time
,,Basement Jaxx,Scars
,,Bat for Lashes,The Haunted Man
,,Bauhaus,The Sky's Gone Out
,,Bauhaus,BEST OF
,,Be Your Own Pet,be your own PET
,,Beach House,Bloom
,,Beach House,Live at KEXP Volume Six
,,Beach House,Teen Dream
,,Beastie Boys,Ill Communication
,,Beastie Boys,Check Your Head
,,Beastie Boys,Paul's Boutique
,,Beat Connection,TBA
,,Beat Connection,The Palace Garden
,,Beat Connection,Surf Noir EP
,,Beck,Sea Change
,,Beck,Mellow Gold
,,Beck,Morning Phase
,,Beck,Midnite Vultures
,,Beck,Odelay
,,Beck,Modern Guilt
,,Beck,The Information
,,Beck,Guero
,,Beirut,Gulag Orkestar
,,Beirut,The Rip Tide
,,Beirut,The Flying Club Cup
,,Belle and Sebastian,Tigermilk
,,Belle and Sebastian,If You’re Feeling Sinister
,,Belle and Sebastian,Girls In Peacetime Want To Dance
,,Belle and Sebastian,Dear Catastrophe Waitress
,,Belle and Sebastian,The Life Pursuit
,,Belly,Star
,,Ben Lee,Awake Is the New Sleep
,,Best Coast,California Nights
,,Best Coast,Crazy for You
,,Bettye LaVette,The Scene of the Crime
,,Big Star,#1 Record / Radio City
,,Bill Callahan,Sometimes I Wish We Were an Eagle
,,Bill Callahan,Apocalypse
,,Billy Bragg,Must I Paint You a Picture? The Essential Billy Bragg
,,Billy Bragg & Wilco,Mermaid Avenue
,,Björk,Debut
,,Björk,Vespertine
,,Björk,Volta
,,Björk,Post
,,Björk,GREATEST HITS
,,Black Flag,Damaged
,,Black Lips,Arabia Mountain
,,Black Mountain,In the Future
,,Black Mountain,Wilderness Heart
,,Black Rebel Motorcycle Club,B.R.M.C.
,,Black Rebel Motorcycle Club,"Take Them On, on Your Own"
,,Black Rebel Motorcycle Club,Beat the Devil's Tattoo
,,Black Rebel Motorcycle Club,Baby 81
,,Black Rebel Motorcycle Club,Howl
,,Blackalicious,The Craft
,,Blitzen Trapper,Wild Mountain Nation
,,Blitzen Trapper,Furr
,,Bloc Party,A Weekend in the City
,,Bloc Party,Silent Alarm
,,Blonde Redhead,Misery Is a Butterfly
,,Blonde Redhead,23
,,Blue Scholars,The Long March EP
,,Blue Scholars,Blue Scholars
,,Blue Scholars,Bayani
,,Blue Sky Black Death,Noir
,,Blur,Parklife
,,Boards of Canada,The Campfire Headphase
,,Bob Dylan,Blonde on Blonde
,,Bob Dylan,Bringing It All Back Home
,,Bob Mould,Beauty & Ruin
,,Bob Mould,Silver Age
,,Bobby Bare Jr.'s Young Criminals' Starvation League,The Longest Meow
,,Bomba Estéreo,Blow Up
,,Bombay Bicycle Club,"So Long, See You Tomorrow"
,,Bon Iver,"Bon Iver, Bon Iver"
,,Bon Iver,"For Emma, Forever Ago"
,,Brazilian Girls,Talk to La Bomb
,,Brazilian Girls,Brazilian Girls
,,Breakestra,Hit the Floor
,,Brian Eno,Here Come the Warm Jets
,,Bright Eyes,"I'm Wide Awake, It's Morning"
,,Bright Eyes,Cassadaga
,,British Sea Power,Open Season
,,British Sea Power,Do You Like Rock Music?
,,Broadcast,Tender Buttons
,,Broken Bells,After The Disco
,,Broken Bells,Broken Bells
,,Broken Social Scene,Forgiveness Rock Record
,,Broken Social Scene,You Forgot It in People
,,Broken Social Scene,Broken Social Scene
,,Broncho,Just Enough Hip To Be Woman
,,Built to Spill,There Is No Enemy
,,Built to Spill,Untethered Moon
,,Built to Spill,Live
,,Built to Spill,Keep It Like a Secret
,,Built to Spill,Ancient Melodies of the Future
,,Built to Spill,Perfect From Now On
,,Built to Spill,There’s Nothing Wrong With Love
,,Built to Spill,You in Reverse
,,Burial,Untrue
,,Calexico,Algiers
,,Calexico,Garden Ruin
,,Calexico and Iron and Wine,In the Reins
,,Camera Obscura,Let's Get Out of This Country
,,Camera Obscura,My Maudlin Career
,,Cancer Rising f/ Bruce Illest,Search For The Cure
,,Cancer Rising f/ Bruce Illest,Cancer Rising
,,Capsula,In The Land Of Silver Souls
,,Caribou,The Milk of Human Kindness
,,Caribou,Andorra
,,Caribou,Our Love
,,Caribou,Swim
,,Cat Power,Jukebox
,,Cat Power,You Are Free
,,Cat Power,Sun
,,Cat Power,The Greatest
,,Catherine Wheel,Chrome
,,Catherine Wheel,Ferment
,,Caveman,CoCo Beware
,,CeeLo Green,The Lady Killer
,,Charles Bradley,Victim of Love
,,Charles Bradley,No Time For Dreaming
,,Charlotte Gainsbourg,IRM
,,Chromatics,Kill For Love
,,Citizen Cope,The Clarence Greenwood Recordings
,,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah
,,Cloud Control,Bliss Release
,,Cloud Control,Dream Cave
,,Cloud Cult,Advice From the Happy Hippopotamus
,,Cloud Cult,The Meaning of 8
,,Cloud Cult,Love
,,Cloud Nothings,Attack On Memory
,,Cloud Nothings,Here and Nowhere Else
,,Cody ChesnuTT,Landing on a Hundred
,,Cold War Kids,Robbers & Cowards
,,Common,Be
,,Common Market,Tobacco Road
,,Common Market,Common Market
,,Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit"
,,Courtney Barnett,The Double EP: A Sea of Split Peas
,,Craft Spells,Idle Labor
,,Crooked Fingers,Dignity and Shame
,,Crystal Castles,(III)
,,Crystal Castles,Crystal Castles
,,Cults,Cults
,,Curtis Mayfield,Superfly
,,Cut Chemist,The Audience's Listening
,,Cut Copy,free your mind
,,Cut Copy,Zonoscope
,,Cut Copy,In Ghost Colours
,,Daft Punk,HOMEWORK
,,Daft Punk,Random Access Memories
,,Damian Marley,Welcome to Jamrock
,,Damien Jurado,Saint Bartlett
,,Damien Jurado,Maraqopa
,,Dan Auerbach,Keep It Hid
,,David Bazan,Curse Your Branches
,,David Bowie,The Next Day
,,David Bowie,Low
,,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders From Mars
,,David Bowie,Hunky Dory
,,David Bowie,Best of Bowie
,,David Byrne and Brian Eno,Everything That Happens Will Happen Today
,,De La Soul,3 Feet High and Rising
,,Dead Kennedys,Fresh Fruit for Rotting Vegetables
,,Death Cab for Cutie,Codes and Keys
,,Death Cab for Cutie,Transatlanticism
,,Death Cab for Cutie,Narrow Stairs
,,Death Cab for Cutie,Plans
,,Death From Above 1979,"You're a Woman, I'm a Machine"
,,Deep Sea Diver,History Speaks
,,Deerhunter,Monomania
,,Deerhunter,Microcastle
,,Deerhunter,Halcyon Digest
,,Delays,Faded Seaside Glamour
,,Deltron 3030,Deltron 3030
,,Depeche Mode,Music for the Masses
,,Depeche Mode,Violator
,,Depeche Mode,GREATEST HITS
,,Destroyer,kaputt
,,dEUS,Pocket Revolution
,,Devendra Banhart,Cripple Crow
,,Devo,Freedom of Choice
,,Devo,Q: Are We Not Men? A: We Are Devo!
,,DeVotchKa,100 Lovers
,,DeVotchKa,A Mad & Faithful Telling
,,DeVotchKa,How It Ends
,,Digitalism,Idealism
,,DIIV,Oshin
,,Dinosaur Jr.,Farm
,,Dinosaur Jr.,Beyond
,,Dinosaur Jr.,Where You Been
,,Dirty Projectors,Swing Lo Magellan
,,Dirty Projectors,Bitte Orca
,,Disclosure,Settle
,,Divine Fits,A Thing Called Divine Fits
,,DJ Shadow,The Outsider
,,DJ Shadow,The Private Press
,,DJ Shadow,Endtroducing.....
,,Django Django,Django Django
,,Doves,Lost Souls
,,Doves,Kingdom of Rust
,,Doves,Some Cities
,,Doves,The Last Broadcast
,,Drive-By Truckers,Brighter Than Creation's Dark
,,Drive-By Truckers,A Blessing and a Curse
,,Dum Dum Girls,Too True
,,Dum Dum Girls,Only In Dreams
,,Echo & The Bunnymen,The Very Best Of: More Songs to Learn and Sing
,,Echo & The Bunnymen,Ocean Rain
,,Editors,The Back Room
,,Editors,An End Has a Start
,,EELS,Souljacker
,,El Guincho,Alegranza
,,Elastica,Elastica
,,Elbow,Cast of Thousands
,,Elbow,The Take OFf And Landing Of Everything
,,Elbow,The Seldom Seen Kid
,,Elbow,Build a Rocket Boys!
,,Elbow,Leaders of the Free World
,,Elliott BROOD,Mountain Meadows
,,Elliott Smith,Elliott Smith
,,Elliott Smith,Figure 8
,,Elliott Smith,From a Basement on the Hill
,,Elliott Smith,either/or
,,Elliott Smith,New Moon
,,Elliott Smith,XO
,,Elvis Costello,The Very Best Of
,,Elvis Perkins,Ash Wednesday
,,Elvis Perkins in Dearland,Elvis Perkins in Dearland
,,Erik Blood,Touch Screens
,,Erik Blood,The Way We Live
,,Erykah Badu,"New Amerykah, Part One (4th World War)"
,,Ex Hex,Rips
,,Father John Misty,"I Love You, Honeybear"
,,Father John Misty,Fear Fun
,,Feist,Let It Die
,,Feist,The Reminder
,,Fever Ray,Fever Ray
,,Fields,Everything Last Winter
,,Firewater,The Golden Hour
,,First Aid Kit,Stay Gold
,,First Aid Kit,The Lion's Roar
,,Fischerspooner,Odyssey
,,Fitz and The Tantrums,Pickin' Up the Pieces
,,Fitz and The Tantrums,LIVE at KEXP Volume Seven
,,FKA twigs,LP1
,,Fleet Foxes,Helplessness Blues
,,Fleet Foxes,Fleet Foxes
,,Flight of the Conchords,Flight of the Conchords
,,Florence + the Machine,Lungs
,,Flunk,Morning Star
,,Foals,What Went Down
,,Foals,Antidotes
,,Foals,Holy Fire
,,Foals,Total Life Forever
,,Frank Black,Teenager of the Year
,,Frank Ocean,Channel Orange
,,Frankie Rose,Herein Wild
,,Franz Ferdinand,"Right Thoughts, Right Words, Right Action"
,,Franz Ferdinand,Franz Ferdinand
,,Franz Ferdinand,You Could Have It So Much Better
,,Freddie King,Ultimate Collection
,,Freelance Whales,Weathervanes
,,Fresh Espresso,Glamour
,,Friendly Fires,Friendly Fires
,,Frightened Rabbit,Pedestrian Verse
,,Frightened Rabbit,The Winter of Mixed Drinks
,,Frightened Rabbit,The Midnight Organ Fight
,,Fruit Bats,The Ruminant Band
,,Fugazi,The Argument
,,Fugazi,13 Songs
,,Fujiya & Miyagi,Transparent Things
,,Funkadelic,Maggot Brain
,,Future Islands,Singles
,,Gabriel Teodros,Lovework
,,Galactic,From the Corner to the Block
,,Gang of Four,A Brief History of the Twentieth Century
,,Gang of Four,Entertainment!
,,Ghostland Observatory,Robotique Majestique
,,Ghostland Observatory,Paparazzi Lightning
,,Gil Scott-Heron,I'm New Here
,,Gillian Welch,The Harrow & The Harvest
,,Girls,"Father, Son, Holy Ghost"
,,Girls,album
,,Glasser,Ring
,,Gnarls Barkley,The Odd Couple
,,Gnarls Barkley,St. Elsewhere
,,Goldfrapp,Black Cherry
,,Goldfrapp,Supernature
,,Gomez,How We Operate
,,Gorillaz,Gorillaz
,,Gorillaz,Plastic Beach
,,Gorillaz,Demon Days
,,Gossip,Music For Men
,,Gossip,Standing in the Way of Control
,,Grand Archives,The Grand Archives
,,Grimes,Visions
,,Grinderman,Grinderman
,,Grizzly Bear,Shields
,,Grizzly Bear,Yellow House
,,Grizzly Bear,LIVE at KEXP Volume Three
,,Grizzly Bear,Veckatimest
,,Gui Boratto,Take My Breath Away
,,Gui Boratto,III
,,Guided By Voices,Human Amusements at Hourly Rates: The Best of Guided by Voices
,,Handsome Furs,Face Control
,,Handsome Furs,Sound Kapital
,,Harvey Danger,Little by Little...
,,Head Like a Kite,Dreams Suspend Night
,,Head Like a Kite,There Is Loud Laughter Everywhere
,,Hercules and Love Affair,Hercules and Love Affair
,,Hot Chip,Why Make Sense?
,,Hot Chip,One Life Stand
,,Hot Chip,In Our Heads
,,Hot Chip,Made in the Dark
,,Hot Chip,The Warning
,,Hüsker Dü,Flip Your Wig
,,Hüsker Dü,New Day Rising
,,Husky Rescue,Country Falls
,,Iggy & The Stooges,Raw Power
,,Iggy Pop,Lust for Life
,,Imperial Teen,Feel The Sound
,,Imperial Teen,"The Hair, the TV, the Baby and the Band"
,,Imperial Teen,On
,,Interpol,Antics
,,Interpol,Our Love to Admire
,,Interpol,Turn On the Bright Lights
,,Iron & Wine,Our Endless Numbered Days
,,Iron & Wine,The Shepherd's Dog
,,Israel Nash,Israel Nash's Rain Plans
,,Ivy,In the Clear
,,Jack Peñate,Everything Is New
,,Jack White,Lazaretto
,,Jack White,Blunderbuss
,,Jagwar Ma,Howlin
,,James,Laid
,,James Blake,James Blake
,,James Brown,20 All Time Greatest Hits!
,,James Pants,Welcome
,,Jamie T,Panic Prevention
,,Jamie xx,In Colour
,,Jane's Addiction,Nothing's Shocking
,,Jane's Addiction,Ritual de lo habitual
,,Janelle Monáe,The Electric Lady
,,Janelle Monáe,The ArchAndroid
,,Japandroids,Post-Nothing
,,Japandroids,Celebration Rock
